Actual Sales,Random Forest Predictions,SVR Predictions
7735.0,9835.76,9568.499999884516
9115.0,11362.14,10768.500000122935
186.0,212.18,-4716.999999877065
11792.0,10772.16,13396.999999884516
4520.0,2798.16,2940.0000001229346
10082.0,10262.0,16425.499999884516
16569.0,12268.3,19453.999999884516
210.0,852.6,-2317.000000115484
7059.0,6126.48,7968.500000122935
102839.0,124491.7,31739.500000122935
383.0,332.74,311.5000001229346
15154.0,11865.0,15625.500000122935
237.0,1530.06,-1917.000000115484
4582.0,6574.78,6368.500000122935
28146.0,25215.7,25682.500000122935
152610.0,138671.0,35739.499999884516
140823.0,115367.06,32539.500000122935
232.0,181.58,-6316.999999877065
12317.0,9298.08,25282.500000122935
94903.0,95728.06,30711.000000122935
11159.0,10826.9,16825.499999884516
7660.0,10215.8,9968.500000122935
4022.0,4640.62,4939.999999884516
19006.0,15244.18,18825.500000122935
9047.0,8623.34,8768.500000122935
